,Class,Specificity,Sensitivity,PPV,NPV,ROC_AUC,Average Precision Score,Fold
0,Hospitalized,0.8571428571428571,0.8333333333333334,0.9230769230769231,0.7142857142857143,0.8452380952380952,0.8912087912087912,0
1,ICU,0.8181818181818182,0.896551724137931,0.75,0.9285714285714286,0.8573667711598747,0.6636363636363636,0
2,Self Isolation,1.0,0.9743589743589743,0.5,1.0,0.9871794871794871,0.5,0
3,Hospitalized,0.8695652173913043,0.6470588235294118,0.7692307692307693,0.7857142857142857,0.758312020460358,0.7438963210702341,1
4,ICU,0.6363636363636364,0.896551724137931,0.7,0.8666666666666667,0.7664576802507836,0.5454545454545454,1
5,Self Isolation,0.5,0.9705882352941176,0.75,0.9166666666666666,0.7352941176470588,0.45,1
6,Hospitalized,1.0,0.75,0.7142857142857143,1.0,0.875,0.7142857142857143,2
7,ICU,0.7894736842105263,1.0,1.0,0.8333333333333334,0.8947368421052632,0.8920377867746289,2
8,Self Isolation,0.6,1.0,1.0,0.9444444444444444,0.8,0.6512820512820513,2
9,Hospitalized,0.9,0.631578947368421,0.72,0.8571428571428571,0.7657894736842105,0.6992820512820512,3
10,ICU,0.6,0.8333333333333334,0.6923076923076923,0.7692307692307693,0.7166666666666668,0.5692307692307692,3
11,Self Isolation,0.25,1.0,1.0,0.9210526315789473,0.625,0.3269230769230769,3
12,Hospitalized,0.85,0.7894736842105263,0.8095238095238095,0.8333333333333334,0.8197368421052631,0.765018315018315,4
13,ICU,0.9375,0.8695652173913043,0.8333333333333334,0.9523809523809523,0.9035326086956521,0.8068910256410257,4
14,Self Isolation,0.0,1.0,0.0,0.9230769230769231,undefined,undefined,4
15,Hospitalized,0.85,0.7894736842105263,0.8095238095238095,0.8333333333333334,0.8197368421052631,0.765018315018315,5
16,ICU,0.7647058823529411,0.9090909090909091,0.8666666666666667,0.8333333333333334,0.8368983957219251,0.7653092006033182,5
17,Self Isolation,1.0,0.972972972972973,0.6666666666666666,1.0,0.9864864864864865,0.6666666666666666,5
18,Hospitalized,0.8461538461538461,0.7692307692307693,0.88,0.7142857142857143,0.8076923076923077,0.8471794871794871,6
19,ICU,0.8333333333333334,0.8518518518518519,0.7142857142857143,0.92,0.8425925925925926,0.6465201465201466,6
20,Self Isolation,0.0,1.0,0.0,0.9743589743589743,undefined,undefined,6
21,Hospitalized,0.8,0.7857142857142857,0.8695652173913043,0.6875,0.7928571428571429,0.8238573021181717,7
22,ICU,0.75,0.8518518518518519,0.6923076923076923,0.8846153846153846,0.8009259259259259,0.596153846153846,7
23,Self Isolation,0.5,0.9459459459459459,0.3333333333333333,0.9722222222222222,0.7229729729729729,0.1923076923076923,7
24,Hospitalized,0.9545454545454546,0.7058823529411765,0.8076923076923077,0.9230769230769231,0.8302139037433155,0.7966200466200467,8
25,ICU,0.6875,0.9565217391304348,0.9166666666666666,0.8148148148148148,0.8220108695652174,0.7584134615384615,8
26,Self Isolation,0.0,0.9736842105263158,0.0,0.9736842105263158,0.4868421052631579,0.02564102564102564,8
27,Hospitalized,0.8181818181818182,0.7647058823529411,0.8181818181818182,0.7647058823529411,0.7914438502673797,0.7719855901674084,9
28,ICU,0.7142857142857143,0.88,0.7692307692307693,0.8461538461538461,0.7971428571428572,0.652014652014652,9
29,Self Isolation,1.0,0.9722222222222222,0.75,1.0,0.986111111111111,0.75,9
